## DSID    events    xsec[pb]*kfac*filter        lumi[fb-1]         name
---------  --------  --------------------------  -----------------  ------------------------------------------------------------------------------
##         ##        ====================        ##                 ##
##         ##        Diboson_DC14_MC15sim        ##                 ##
410065     1000000   3.409*1.054*1.0             293.34             mc15_13TeV.410065.PowhegPythiaEvtGen_P2012_Wt_DS_dilepton_antitop
410099     5000000   34.917*1.027*1.0            143.2              mc15_13TeV.410099.PowhegPythiaEvtGen_P2012radHi_Wt_inclusive_top
410100     5000000   33.407*1.073*1.0            149.67             mc15_13TeV.410100.PowhegPythiaEvtGen_P2012radLo_Wt_inclusive_top
410101     5000000   34.893*1.027*1.0            143.3              mc15_13TeV.410101.PowhegPythiaEvtGen_P2012radHi_Wt_inclusive_antitop
410102     4999000   33.388*1.073*1.0            149.72             mc15_13TeV.410102.PowhegPythiaEvtGen_P2012radLo_Wt_inclusive_antitop
410103     1000000   3.679*1.027*1.0             271.81             mc15_13TeV.410103.PowhegPythiaEvtGen_P2012radHi_Wt_dilepton_top
410104     1000000   3.5201*1.073*1.0            284.08             mc15_13TeV.410104.PowhegPythiaEvtGen_P2012radLo_Wt_dilepton_top
410105     1000000   3.6767*1.027*1.0            271.98             mc15_13TeV.410105.PowhegPythiaEvtGen_P2012radHi_Wt_dilepton_antitop
410106     1000000   3.5181*1.073*1.0            284.24             mc15_13TeV.410106.PowhegPythiaEvtGen_P2012radLo_Wt_dilepton_antitop
410107     1000000   2.0755*1.0*1.0              481.81             mc15_13TeV.410107.PowhegPythiaEvtGen_P2012radHi_SingleTopSchan_lept_top
410108     1000000   2.0331*1.0*1.0              491.86             mc15_13TeV.410108.PowhegPythiaEvtGen_P2012radLo_SingleTopSchan_lept_top
410109     1000000   1.2753*1.0*1.0              784.13             mc15_13TeV.410109.PowhegPythiaEvtGen_P2012radHi_SingleTopSchan_lept_antitop
410110     1000000   1.2514*1.0*1.0              799.11             mc15_13TeV.410110.PowhegPythiaEvtGen_P2012radLo_SingleTopSchan_lept_antitop
410141     4895000   68.768*1.0*1.0              71.18              mc15_13TeV.410141.aMcAtNloHerwigppEvtGen_singletop_tchan_lept
410145     982000    4.0*0.968*1.0               245.5              mc15_13TeV.410145.PowhegHerwigppEvtGen_UEEE5_Wt_dilepton_top
410146     982000    4.0*0.968*1.0               245.5              mc15_13TeV.410146.PowhegHerwigppEvtGen_UEEE5_Wt_dilepton_antitop
410147     4900000   34.0*1.054*1.0              144.12             mc15_13TeV.410147.PowhegHerwigppEvtGen_UEEE5_Wt_inclusive_top
410148     4905000   34.0*1.054*1.0              144.26             mc15_13TeV.410148.PowhegHerwigppEvtGen_UEEE5_Wt_inclusive_antitop
410151     995000    0.19748*1.0*1.0             5038.48            mc15_13TeV.410151.MadGraphPythiaEvtGen_P2012radLo_tZ_4fl_tchan_noAllHad
410152     1000000   0.29866*1.0*1.0             3348.29            mc15_13TeV.410152.MadGraphPythiaEvtGen_P2012radHi_tZ_4fl_tchan_noAllHad
410153     1000000   0.0074284*1.0*1.0           134618.49          mc15_13TeV.410153.MadGraphPythiaEvtGen_P2012radLo_tZ_4fl_tchan_trilepton
410154     1000000   0.011252*1.0*1.0            88873.09           mc15_13TeV.410154.MadGraphPythiaEvtGen_P2012radHi_tZ_4fl_tchan_trilepton
410164     1965000   7.8714*1.0*1.0              249.64             mc15_13TeV.410164.aMcAtNloHerwigppEvtGen_UEEE5_CTEQ6L1_CT10ME_Wt_dilepton
410215     90000     0.015558*1.0*1.0            5784.81            mc15_13TeV.410215.aMcAtNloPythia8EvtGen_A14_NNPDF23LO_260000_tWZDR
410217     90000     0.015483*1.0*1.0            5812.83            mc15_13TeV.410217.aMcAtNloHerwigppEvtGen_UEEE5_CTEQ6L1_CT10ME_260000_tWZDR
##         ##        =========                   ##                 ##
##         ##        TTbarBulk                   ##                 ##
##         ##        =========                   ##                 ##
410001     19995000  783.73*1.9545*0.543         46.98              mc15_13TeV.410001.PowhegPythiaEvtGen_P2012radHi_ttbar_hdamp345_down_nonallhad
410002     20000000  611.1*2.5066*0.543          60.27              mc15_13TeV.410002.PowhegPythiaEvtGen_P2012radLo_ttbar_hdamp172_up_nonallhad
410003     29390000  694.59*2.2053*0.543         77.92              mc15_13TeV.410003.aMcAtNloHerwigppEvtGen_ttbar_nonallhad
410004     9820000   696.32*2.1998*0.543         25.97              mc15_13TeV.410004.PowhegHerwigppEvtGen_UEEE5_ttbar_hdamp172p5_nonallhad
410006     10000000  696.35*2.1997*0.543         26.45              mc15_13TeV.410006.PowhegPythia8EvtGen_A14_ttbar_hdamp172p5_nonallhad
410007     10000000  696.21*2.6142*0.457         31.43              mc15_13TeV.410007.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_allhad
410008     4910000   694.44*2.6209*0.457         15.47              mc15_13TeV.410008.aMcAtNloHerwigppEvtGen_ttbar_allhad
410009     19965000  696.12*11.3428*0.10534      272.27             mc15_13TeV.410009.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_dil
410021     2000000   78.73*1.17*1.0              25.4               mc15_13TeV.410021.Sherpa_CT10_ttbar_DiLepton_MEPS_NLO
410022     4977000   157.35*1.17*1.0             31.63              mc15_13TeV.410022.Sherpa_CT10_ttbar_SingleLeptonP_MEPS_NLO
410023     4993000   157.54*1.17*1.0             31.69              mc15_13TeV.410023.Sherpa_CT10_ttbar_SingleLeptonM_MEPS_NLO
410024     9989000   315.99*1.17*1.0             31.61              mc15_13TeV.410024.Sherpa_CT10_ttbar_AllHadron_MEPS_NLO
410037     8000000   745.61*1.0*0.54387          19.73              mc15_13TeV.410037.PowhegPythiaEvtGen_P2012_ttbar_hdamp170_nonallhad
410038     8000000   715.51*1.0*0.54378          20.56              mc15_13TeV.410038.PowhegPythiaEvtGen_P2012_ttbar_hdamp171p5_nonallhad
410039     8000000   677.57*1.0*0.5438           21.71              mc15_13TeV.410039.PowhegPythiaEvtGen_P2012_ttbar_hdamp173p5_nonallhad
410040     8000000   650.65*1.0*0.54384          22.61              mc15_13TeV.410040.PowhegPythiaEvtGen_P2012_ttbar_hdamp175_nonallhad
410041     8135000   608.55*1.0*0.54377          24.58              mc15_13TeV.410041.PowhegPythiaEvtGen_P2012_ttbar_hdamp177p5_nonallhad
410042     8000000   745.57*1.0*0.45616          23.52              mc15_13TeV.410042.PowhegPythiaEvtGen_P2012_ttbar_hdamp170_allhad
410043     8000000   715.49*1.0*0.4562           24.51              mc15_13TeV.410043.PowhegPythiaEvtGen_P2012_ttbar_hdamp171p5_allhad
410044     8000000   677.55*1.0*0.45618          25.88              mc15_13TeV.410044.PowhegPythiaEvtGen_P2012_ttbar_hdamp173p5_allhad
410045     8000000   650.62*1.0*0.45617          26.95              mc15_13TeV.410045.PowhegPythiaEvtGen_P2012_ttbar_hdamp175_allhad
410046     8000000   608.53*1.0*0.45625          28.81              mc15_13TeV.410046.PowhegPythiaEvtGen_P2012_ttbar_hdamp177p5_allhad
410120     15000000  696.23*34.5039*0.034624     622.24             mc15_13TeV.410120.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad_bfilter
410121     14935000  696.23*185.0268*0.006457    3322.32            mc15_13TeV.410121.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_dil_bfilter
410159     29995000  679.76*2.2496*0.54393       81.12              mc15_13TeV.410159.aMcAtNloPythia8EvtGen_A14_NNPDF23_NNPDF30ME_ttbar_nonallhad
410160     30000000  679.12*2.6865*0.45589       96.9               mc15_13TeV.410160.aMcAtNloPythia8EvtGen_A14_NNPDF23_NNPDF30ME_ttbar_allhad
410186     9994000   330.19*1.1484*1.0           30.27              mc15_13TeV.410186.Sherpa_NNPDF30NNLO_ttbar_AllHadronic_MEPS_NLO
410187     5000000   158.94*1.1484*1.0           31.46              mc15_13TeV.410187.Sherpa_NNPDF30NNLO_ttbar_SingleLeptonP_MEPS_NLO
410188     5000000   158.82*1.1484*1.0           31.48              mc15_13TeV.410188.Sherpa_NNPDF30NNLO_ttbar_SingleLeptonM_MEPS_NLO
410189     2000000   76.333*1.1484*1.0           26.2               mc15_13TeV.410189.Sherpa_NNPDF30NNLO_ttbar_dilepton_MEPS_NLO
410500     10000000  730.28*2.0975*0.543         25.22              mc15_13TeV.410500.PowhegPythia8EvtGen_A14_ttbar_hdamp172p5_nonallhad
##         ##        =====                       ##                 ##
##         ##        TTbar                       ##                 ##
##         ##        =====                       ##                 ##
301528     550000    696.25*1.1949*0.004719      167.39             mc15_13TeV.301528.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad_mtt_1
301529     230000    696.25*1.1949*0.001944      169.93             mc15_13TeV.301529.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad_mtt_2
301530     100000    696.23*1.1949*0.000863      166.42             mc15_13TeV.301530.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad_mtt_3
301531     75000     696.24*1.1949*0.000519      207.52             mc15_13TeV.301531.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad_mtt_4
301532     45000     696.25*1.1949*0.000309      209.04             mc15_13TeV.301532.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad_mtt_5
301539     199500    5.2071*1.363*1.0            38.31              mc15_13TeV.301539.Sherpa_CT10_ttbar_ee_50M150
302910     50000     2.2365*1.363*1.0            22.36              mc15_13TeV.302910.Sherpa_CT10_ttbar_ee_150M500
302911     46500     0.063812*1.363*1.0          728.7              mc15_13TeV.302911.Sherpa_CT10_ttbar_ee_500M1000
302912     50000     0.0023248*1.363*1.0         21507.23           mc15_13TeV.302912.Sherpa_CT10_ttbar_ee_1000M2000
302913     50000     2.2243e-05*1.363*1.0        2247898.22         mc15_13TeV.302913.Sherpa_CT10_ttbar_ee_2000M3000
302914     50000     8.5302e-07*1.363*1.0        58615272.8         mc15_13TeV.302914.Sherpa_CT10_ttbar_ee_3000M4000
302915     50000     2.0182e-08*1.363*1.0        2477455158.06      mc15_13TeV.302915.Sherpa_CT10_ttbar_ee_4000M5000
302916     49000     8.2348e-10*1.363*1.0        59503570214.2      mc15_13TeV.302916.Sherpa_CT10_ttbar_ee_5000M
302917     200000    4.7895*1.363*1.0            41.76              mc15_13TeV.302917.Sherpa_CT10_ttbar_mumu_50M150
302918     50000     1.8522*1.363*1.0            26.99              mc15_13TeV.302918.Sherpa_CT10_ttbar_mumu_150M500
302919     48500     0.058171*1.363*1.0          833.75             mc15_13TeV.302919.Sherpa_CT10_ttbar_mumu_500M1000
302920     50000     0.0026468*1.363*1.0         18890.74           mc15_13TeV.302920.Sherpa_CT10_ttbar_mumu_1000M2000
302921     50000     2.6353e-05*1.363*1.0        1897317.19         mc15_13TeV.302921.Sherpa_CT10_ttbar_mumu_2000M3000
302922     100000    7.1483e-07*1.363*1.0        139893401.23       mc15_13TeV.302922.Sherpa_CT10_ttbar_mumu_3000M4000
302923     50000     1.898e-08*1.363*1.0         2634351949.42      mc15_13TeV.302923.Sherpa_CT10_ttbar_mumu_4000M5000
302924     48000     7.9808e-10*1.363*1.0        60144346431.4      mc15_13TeV.302924.Sherpa_CT10_ttbar_mumu_5000M
303480     492000    13.632*1.0*1.0              36.09              mc15_13TeV.303480.Sherpa_CT10_ttbar_emu_0M150
303481     250000    3.8249*1.0*1.0              65.36              mc15_13TeV.303481.Sherpa_CT10_ttbar_emu_150M500
303482     248500    0.10587*1.0*1.0             2347.22            mc15_13TeV.303482.Sherpa_CT10_ttbar_emu_500M1000
303483     243000    0.0062504*1.0*1.0           38877.51           mc15_13TeV.303483.Sherpa_CT10_ttbar_emu_1000M2000
303484     242000    5.2566e-05*1.0*1.0          4603736.26         mc15_13TeV.303484.Sherpa_CT10_ttbar_emu_2000M3000
303485     221000    1.1692e-06*1.0*1.0          189018132.06       mc15_13TeV.303485.Sherpa_CT10_ttbar_emu_3000M4000
303486     247000    7.2428e-08*1.0*1.0          3410283315.84      mc15_13TeV.303486.Sherpa_CT10_ttbar_emu_4000M5000
303487     141000    3.398e-09*1.0*1.0           41494997057.1      mc15_13TeV.303487.Sherpa_CT10_ttbar_emu_M5000
303722     550000    696.25*1.0*0.003958         199.57             mc15_13TeV.303722.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_allhad_mtt_1
303723     230000    696.24*1.0*0.001634         202.16             mc15_13TeV.303723.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_allhad_mtt_2
303724     100000    696.22*1.0*0.000723         198.53             mc15_13TeV.303724.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_allhad_mtt_3
303725     75000     696.24*1.0*0.000438         245.81             mc15_13TeV.303725.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_allhad_mtt_4
303726     45000     696.24*1.0*0.000259         249.41             mc15_13TeV.303726.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_allhad_mtt_5
343362     11988800  696.23*1.0*0.000188         91735.11           mc15_13TeV.343362.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_dil_highMjj
343637     9978866   696.23*1.0*1.0              14.33              mc15_13TeV.343637.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_threelepton
343852     499300    22.414*1.0*0.000438         50870.65           mc15_13TeV.343852.MadGraphPythia8EvtGen_A14NNPDF23LO_ttbar_Np0
343853     1986800   19.888*1.0*0.002069         48286.26           mc15_13TeV.343853.MadGraphPythia8EvtGen_A14NNPDF23LO_ttbar_Np1
343854     4800000   16.421*1.0*0.006205         47110.84           mc15_13TeV.343854.MadGraphPythia8EvtGen_A14NNPDF23LO_ttbar_Np2
407009     10000000  696.22*1.1949*0.022921      626.64             mc15_13TeV.407009.PowhegPythiaEvtGen_P2012CT10_ttbarHT6c_1k_hdamp172p5_nonAH
407010     2000000   696.22*1.1949*0.003204      896.49             mc15_13TeV.407010.PowhegPythiaEvtGen_P2012CT10_ttbarHT1k_1k5_hdamp172p5_nonAH
407011     500000    696.23*1.1949*0.000565      1270.54            mc15_13TeV.407011.PowhegPythiaEvtGen_P2012CT10_ttbarHT1k5_hdamp172p5_nonAH
407012     3995000   696.22*1.1949*0.009219      622.39             mc15_13TeV.407012.PowhegPythiaEvtGen_P2012CT10_ttbarMET200_hdamp172p5_nonAH
407029     10000000  783.84*1.0611*0.025894      492.69             mc15_13TeV.407029.PhPyEG_CT10_P2012radHiC6L1_ttbarHT6c_1k_hdamp345_down_nonAH
407030     2000000   783.84*1.0611*0.003963      643.91             mc15_13TeV.407030.PhPyEG_CT10_P2012radHiC6L1_ttbarHT1k_1k5_hdamp345_down_nonAH
407031     496800    783.85*1.0611*0.00075       845.36             mc15_13TeV.407031.PhPyEG_CT10_P2012radHiC6L1_ttbarHT1k5_hdamp345_down_nonAH
407032     4000000   783.83*1.0611*0.009439      540.64             mc15_13TeV.407032.PhPyEG_CT10_P2012radHiC6L1_ttbarMET200_hdamp345_down_nonAH
407033     10000000  611.11*1.3611*0.021578      758.35             mc15_13TeV.407033.PhPyEG_CT10_P2012radLoC6L1_ttbarHT6c_1k_hdamp172_up_nonAH
407034     2000000   611.11*1.3611*0.002724      1201.31            mc15_13TeV.407034.PhPyEG_CT10_P2012radLoC6L1_ttbarHT1k_1k5_hdamp172_up_nonAH
407035     500000    611.12*1.3611*0.000441      1857.28            mc15_13TeV.407035.PhPyEG_CT10_P2012radLoC6L1_ttbarHT1k5_hdamp172_up_nonAH
407036     4000000   611.1*1.3611*0.009121       717.61             mc15_13TeV.407036.PhPyEG_CT10_P2012radLoC6L1_ttbarMET200_hdamp172_up_nonAH
407037     9805000   696.33*1.1945*0.021021      669.85             mc15_13TeV.407037.PhHppEG_CT10_UE5C6L1_ttbarHT6c_1k_hdamp172p5_nonAH
407038     1960000   696.33*1.1945*0.00292       964.09             mc15_13TeV.407038.PhHppEG_CT10_UE5C6L1_ttbarHT1k_1k5_hdamp172p5_nonAH
407039     491200    696.34*1.1945*0.000511      1379.33            mc15_13TeV.407039.PhHppEG_CT10_UE5C6L1_ttbarHT1k5_hdamp172p5_nonAH
407040     3930000   696.32*1.1945*0.007771      726.28             mc15_13TeV.407040.PhHppEG_CT10_UE5C6L1_ttbarMET200_hdamp172p5_nonAH
407041     9990000   696.47*1.1943*0.025503      562.43             mc15_13TeV.407041.PhPy8EG_CT10_A14N23LO_ttbarHT6c_1k_hdamp172p5_nonAH
407042     1998000   696.47*1.1943*0.00379       756.99             mc15_13TeV.407042.PhPy8EG_CT10_A14N23LO_ttbarHT1k_1k5_hdamp172p5_nonAH
407043     497800    696.48*1.1943*0.000706      1012.89            mc15_13TeV.407043.PhPy8EG_CT10_A14N23LO_ttbarHT1k5_hdamp172p5_nonAH
407044     3995000   696.46*1.1943*0.009243      620.59             mc15_13TeV.407044.PhPy8EG_CT10_A14N23LO_ttbarMET200_hdamp172p5_nonAH
410060     9994000   696.49*1.0*0.54376          26.39              mc15_13TeV.410060.PowhegHerwigEvtGen_AUET2_CT10_ttbar_nonallhad_not4physics
410161     10000000  783.84*1.0*0.45602          27.98              mc15_13TeV.410161.PowhegPythiaEvtGen_P2012radHi_ttbar_hdamp345_down_allhad
410162     10000000  611.12*1.0*0.45616          35.87              mc15_13TeV.410162.PowhegPythiaEvtGen_P2012radLo_ttbar_hdamp172p5_up_allhad
410163     9820000   696.34*1.0*0.45619          30.91              mc15_13TeV.410163.PowhegHerwigppEvtGen_UEEE5_ttbar_hdamp172p5_allhad
410221     600000    258.32*1.0*0.36932          6.29               mc15_13TeV.410221.Pythia8EvtGen_A14NNPDF23LO_ttbarLFV_lept_DF
410222     600000    414.0*1.0*0.48101           3.01               mc15_13TeV.410222.Pythia8EvtGen_A14NNPDF23LO_ttbarLFV_hadr_DF
410223     300000    258.34*1.0*0.36834          3.15               mc15_13TeV.410223.Pythia8EvtGen_A14NNPDF23LO_ttbarLFV_lept_SF
410224     300000    413.96*1.0*0.48158          1.5                mc15_13TeV.410224.Pythia8EvtGen_A14NNPDF23LO_ttbarLFV_hadr_SF
410700     90000     0.077143*1.0*1.0            1166.66            mc15_13TeV.410700.aMcAtNloPythia8EvtGen_NNPDF30ME_A14_tt2cHgamgambWmln
410701     90000     0.076878*1.0*1.0            1170.69            mc15_13TeV.410701.aMcAtNloPythia8EvtGen_NNPDF30ME_A14_tt2cHgamgambWpln
410702     80000     0.16095*1.0*1.0             497.05             mc15_13TeV.410702.aMcAtNloPythia8EvtGen_NNPDF30ME_A14_tt2cHgamgambWmqq
410703     100000    0.16015*1.0*1.0             624.41             mc15_13TeV.410703.aMcAtNloPythia8EvtGen_NNPDF30ME_A14_tt2cHgamgambWpqq
426090     100000    696.39*1.0*1.0              0.14               mc15_13TeV.426090.PowhegPythiaEvtGen_P2012_ttbar_semilep_not4physics_T0
426091     100000    696.07*1.0*1.0              0.14               mc15_13TeV.426091.PowhegPythiaEvtGen_P2012_ttbar_semilep_not4physics_T1
426092     100000    696.37*1.0*1.0              0.14               mc15_13TeV.426092.PowhegPythiaEvtGen_P2012_ttbar_semilep_not4physics_T2
426093     100000    696.21*1.0*1.0              0.14               mc15_13TeV.426093.PowhegPythiaEvtGen_P2012_ttbar_semilep_not4physics_T3
426094     100000    696.84*1.0*1.0              0.14               mc15_13TeV.426094.PowhegPythiaEvtGen_P2012_ttbar_semilep_not4physics_T4
426095     100000    697.0*1.0*1.0               0.14               mc15_13TeV.426095.PowhegPythiaEvtGen_P2012_ttbar_semilep_not4physics_T5
426096     100000    696.7*1.0*1.0               0.14               mc15_13TeV.426096.PowhegPythiaEvtGen_P2012_ttbar_semilep_not4physics_T6
426097     100000    696.45*1.0*1.0              0.14               mc15_13TeV.426097.PowhegPythiaEvtGen_P2012_ttbar_semilep_not4physics_T7
429007     100000    696.31*1.1942*0.54316       0.26               mc15_13TeV.429007.PowhegPythia_P2012_ttbar_hdamp172p5_nonallhad
##         ##        ===============             ##                 ##
##         ##        Wjets_AlpgenPy6             ##                 ##
##         ##        ===============             ##                 ##
361800     15000000  14322.0*1.0804*1.0          1.05               mc15_13TeV.361800.AlpgenPythiaEvtGen_P2012_WenuNp0
361801     29990000  3042.3*1.0804*1.0           9.86               mc15_13TeV.361801.AlpgenPythiaEvtGen_P2012_WenuNp1
361802     10000000  858.06*1.0804*1.0           11.65              mc15_13TeV.361802.AlpgenPythiaEvtGen_P2012_WenuNp2
361803     16000000  251.95*1.0804*1.0           63.5               mc15_13TeV.361803.AlpgenPythiaEvtGen_P2012_WenuNp3
361804     4990000   77.439*1.0804*1.0           64.44              mc15_13TeV.361804.AlpgenPythiaEvtGen_P2012_WenuNp4
361805     2000000   33.371*1.0804*1.0           59.93              mc15_13TeV.361805.AlpgenPythiaEvtGen_P2012_WenuNp5
361810     15000000  14323.0*1.0804*1.0          1.05               mc15_13TeV.361810.AlpgenPythiaEvtGen_P2012_WmunuNp0
361811     30000000  3041.4*1.0804*1.0           9.86               mc15_13TeV.361811.AlpgenPythiaEvtGen_P2012_WmunuNp1
361812     10000000  858.11*1.0804*1.0           11.65              mc15_13TeV.361812.AlpgenPythiaEvtGen_P2012_WmunuNp2
361813     8000000   252.01*1.0804*1.0           31.74              mc15_13TeV.361813.AlpgenPythiaEvtGen_P2012_WmunuNp3
361814     4995000   77.496*1.0804*1.0           64.45              mc15_13TeV.361814.AlpgenPythiaEvtGen_P2012_WmunuNp4
361815     2000000   33.341*1.0804*1.0           59.99              mc15_13TeV.361815.AlpgenPythiaEvtGen_P2012_WmunuNp5
361820     15000000  14322.0*1.0804*1.0          1.05               mc15_13TeV.361820.AlpgenPythiaEvtGen_P2012_WtaunuNp0
361821     30000000  3041.8*1.0804*1.0           9.86               mc15_13TeV.361821.AlpgenPythiaEvtGen_P2012_WtaunuNp1
361822     10000000  858.14*1.0804*1.0           11.65              mc15_13TeV.361822.AlpgenPythiaEvtGen_P2012_WtaunuNp2
361823     8000000   252.16*1.0804*1.0           31.73              mc15_13TeV.361823.AlpgenPythiaEvtGen_P2012_WtaunuNp3
361824     5000000   77.549*1.0804*1.0           64.48              mc15_13TeV.361824.AlpgenPythiaEvtGen_P2012_WtaunuNp4
361825     2000000   33.279*1.0804*1.0           60.1               mc15_13TeV.361825.AlpgenPythiaEvtGen_P2012_WtaunuNp5
361830     2595000   2.203*1.0*1.0               1177.94            mc15_13TeV.361830.AlpgenPythiaEvtGen_P2012_WenubbNp0
361831     2400000   2.4553*1.0*1.0              977.48             mc15_13TeV.361831.AlpgenPythiaEvtGen_P2012_WenubbNp1
361832     1195000   1.4626*1.0*1.0              817.04             mc15_13TeV.361832.AlpgenPythiaEvtGen_P2012_WenubbNp2
361833     700000    1.1655*1.0*1.0              600.6              mc15_13TeV.361833.AlpgenPythiaEvtGen_P2012_WenubbNp3
361835     2595000   2.2027*1.0*1.0              1178.1             mc15_13TeV.361835.AlpgenPythiaEvtGen_P2012_WmunubbNp0
361836     2400000   2.457*1.0*1.0               976.8              mc15_13TeV.361836.AlpgenPythiaEvtGen_P2012_WmunubbNp1
361837     1200000   1.4634*1.0*1.0              820.01             mc15_13TeV.361837.AlpgenPythiaEvtGen_P2012_WmunubbNp2
361838     700000    1.1672*1.0*1.0              599.73             mc15_13TeV.361838.AlpgenPythiaEvtGen_P2012_WmunubbNp3
361840     2600000   2.2046*1.0*1.0              1179.35            mc15_13TeV.361840.AlpgenPythiaEvtGen_P2012_WtaunubbNp0
361841     2400000   2.4555*1.0*1.0              977.4              mc15_13TeV.361841.AlpgenPythiaEvtGen_P2012_WtaunubbNp1
361842     1195000   1.4645*1.0*1.0              815.98             mc15_13TeV.361842.AlpgenPythiaEvtGen_P2012_WtaunubbNp2
361843     700000    1.1672*1.0*1.0              599.73             mc15_13TeV.361843.AlpgenPythiaEvtGen_P2012_WtaunubbNp3
361845     2295000   85.913*1.0*1.0              26.71              mc15_13TeV.361845.AlpgenPythiaEvtGen_P2012_WenuccNp0
361846     2300000   106.24*1.0*1.0              21.65              mc15_13TeV.361846.AlpgenPythiaEvtGen_P2012_WenuccNp1
361847     400000    68.43*1.0*1.0               5.85               mc15_13TeV.361847.AlpgenPythiaEvtGen_P2012_WenuccNp2
361848     230000    38.212*1.0*1.0              6.02               mc15_13TeV.361848.AlpgenPythiaEvtGen_P2012_WenuccNp3
361850     2295000   85.852*1.0*1.0              26.73              mc15_13TeV.361850.AlpgenPythiaEvtGen_P2012_WmunuccNp0
361851     2300000   106.27*1.0*1.0              21.64              mc15_13TeV.361851.AlpgenPythiaEvtGen_P2012_WmunuccNp1
361852     400000    68.429*1.0*1.0              5.85               mc15_13TeV.361852.AlpgenPythiaEvtGen_P2012_WmunuccNp2
361853     230000    38.236*1.0*1.0              6.02               mc15_13TeV.361853.AlpgenPythiaEvtGen_P2012_WmunuccNp3
361855     2295000   85.86*1.0*1.0               26.73              mc15_13TeV.361855.AlpgenPythiaEvtGen_P2012_WtaunuccNp0
361856     2300000   106.18*1.0*1.0              21.66              mc15_13TeV.361856.AlpgenPythiaEvtGen_P2012_WtaunuccNp1
361857     400000    68.147*1.0*1.0              5.87               mc15_13TeV.361857.AlpgenPythiaEvtGen_P2012_WtaunuccNp2
361858     230000    38.236*1.0*1.0              6.02               mc15_13TeV.361858.AlpgenPythiaEvtGen_P2012_WtaunuccNp3
361860     6000000   4106.9*1.0*1.0              1.46               mc15_13TeV.361860.AlpgenPythiaEvtGen_P2012_WenucNp0
361861     2300000   892.42*1.0*1.0              2.58               mc15_13TeV.361861.AlpgenPythiaEvtGen_P2012_WenucNp1
361862     1195000   162.67*1.0*1.0              7.35               mc15_13TeV.361862.AlpgenPythiaEvtGen_P2012_WenucNp2
361863     295000    34.816*1.0*1.0              8.47               mc15_13TeV.361863.AlpgenPythiaEvtGen_P2012_WenucNp3
361864     95000     11.088*1.0*1.0              8.57               mc15_13TeV.361864.AlpgenPythiaEvtGen_P2012_WenucNp4
361865     6000000   4106.3*1.0*1.0              1.46               mc15_13TeV.361865.AlpgenPythiaEvtGen_P2012_WmunucNp0
361866     2300000   892.57*1.0*1.0              2.58               mc15_13TeV.361866.AlpgenPythiaEvtGen_P2012_WmunucNp1
361867     1195000   162.74*1.0*1.0              7.34               mc15_13TeV.361867.AlpgenPythiaEvtGen_P2012_WmunucNp2
361868     295000    34.762*1.0*1.0              8.49               mc15_13TeV.361868.AlpgenPythiaEvtGen_P2012_WmunucNp3
361869     100000    11.029*1.0*1.0              9.07               mc15_13TeV.361869.AlpgenPythiaEvtGen_P2012_WmunucNp4
361870     6000000   4107.1*1.0*1.0              1.46               mc15_13TeV.361870.AlpgenPythiaEvtGen_P2012_WtaunucNp0
361871     2300000   893.49*1.0*1.0              2.57               mc15_13TeV.361871.AlpgenPythiaEvtGen_P2012_WtaunucNp1
361872     995000    162.44*1.0*1.0              6.13               mc15_13TeV.361872.AlpgenPythiaEvtGen_P2012_WtaunucNp2
361873     295000    34.834*1.0*1.0              8.47               mc15_13TeV.361873.AlpgenPythiaEvtGen_P2012_WtaunucNp3
361874     95000     11.086*1.0*1.0              8.57               mc15_13TeV.361874.AlpgenPythiaEvtGen_P2012_WtaunucNp4
##         ##        =================           ##                 ##
##         ##        Wjets_MadGraphPy8           ##                 ##
##         ##        =================           ##                 ##
361520     14000000  13939.0*1.2019*1.0          1.0                mc15_13TeV.361520.MadGraphPythia8EvtGen_A14NNPDF23LO_Wenu_Np0
361521     9500000   1894.0*1.2019*1.0           5.02               mc15_13TeV.361521.MadGraphPythia8EvtGen_A14NNPDF23LO_Wenu_Np1
361522     6500000   642.66*1.2019*1.0           10.11              mc15_13TeV.361522.MadGraphPythia8EvtGen_A14NNPDF23LO_Wenu_Np2
361523     3550000   179.18*1.2019*1.0           19.81              mc15_13TeV.361523.MadGraphPythia8EvtGen_A14NNPDF23LO_Wenu_Np3
