
# DSID  events  xsec[pb]*kfac*filter    lumi            name
# ------------------------------------------------------------
301030 	50000 	0.00010387*1.0*1.0 	481370.94 	mc15_13TeV.301030.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_2000M2250.merge.AOD.e3649_s2576_s2132_r6869_r6282
301031 	49800 	4.94e-05*1.0*1.0 	1008097.17 	mc15_13TeV.301031.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_2250M2500.merge.AOD.e3649_s2576_s2132_r6869_r6282
301032 	49800 	2.4452e-05*1.0*1.0 	2036643.22 	mc15_13TeV.301032.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_2500M2750.merge.AOD.e3649_s2576_s2132_r6869_r6282
301033 	50000 	1.2487e-05*1.0*1.0 	4004164.33 	mc15_13TeV.301033.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_2750M3000.merge.AOD.e3649_s2576_s2132_r6869_r6282
301034 	50000 	1.0029e-05*1.0*1.0 	4985541.93 	mc15_13TeV.301034.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_3000M3500.merge.AOD.e3649_s2576_s2132_r6869_r6282
301035 	50000 	2.9342e-06*1.0*1.0 	17040419.88 	mc15_13TeV.301035.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_3500M4000.merge.AOD.e3649_s2576_s2132_r6869_r6282
301036 	49000 	8.9764e-07*1.0*1.0 	54587585.22 	mc15_13TeV.301036.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_4000M4500.merge.AOD.e3649_s2576_s2132_r6869_r6282
301037 	50000 	2.8071e-07*1.0*1.0 	178119767.73 	mc15_13TeV.301037.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_4500M5000.merge.AOD.e3649_s2576_s2132_r6869_r6282
301038 	50000 	1.2649e-07*1.0*1.0 	395288165.07 	mc15_13TeV.301038.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYmumu_5000M.merge.AOD.e3649_s2576_s2132_r6869_r6282

