| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 361846 | mc15_13TeV.361846.AlpgenPythiaEvtGen_P2012_WenuccNp1 | 2300000 | 21.65 | 106.24  | 1.0 | 1.0 | Undefined  | 1.0 | 106.24 | 
| 361847 | mc15_13TeV.361847.AlpgenPythiaEvtGen_P2012_WenuccNp2 | 400000 | 5.85 | 68.43  | 1.0 | 1.0 | Undefined  | 1.0 | 68.43 | 
| 361848 | mc15_13TeV.361848.AlpgenPythiaEvtGen_P2012_WenuccNp3 | 230000 | 6.02 | 38.212  | 1.0 | 1.0 | Undefined  | 1.0 | 38.212 | 
| 361850 | mc15_13TeV.361850.AlpgenPythiaEvtGen_P2012_WmunuccNp0 | 2295000 | 26.73 | 85.852  | 1.0 | 1.0 | Undefined  | 1.0 | 85.852 | 
| 361851 | mc15_13TeV.361851.AlpgenPythiaEvtGen_P2012_WmunuccNp1 | 2300000 | 21.64 | 106.27  | 1.0 | 1.0 | Undefined  | 1.0 | 106.27 | 
| 361852 | mc15_13TeV.361852.AlpgenPythiaEvtGen_P2012_WmunuccNp2 | 400000 | 5.85 | 68.429  | 1.0 | 1.0 | Undefined  | 1.0 | 68.429 | 
| 361853 | mc15_13TeV.361853.AlpgenPythiaEvtGen_P2012_WmunuccNp3 | 230000 | 6.02 | 38.236  | 1.0 | 1.0 | Undefined  | 1.0 | 38.236 | 
| 361855 | mc15_13TeV.361855.AlpgenPythiaEvtGen_P2012_WtaunuccNp0 | 2295000 | 26.73 | 85.86  | 1.0 | 1.0 | Undefined  | 1.0 | 85.86 | 
| 361856 | mc15_13TeV.361856.AlpgenPythiaEvtGen_P2012_WtaunuccNp1 | 2300000 | 21.66 | 106.18  | 1.0 | 1.0 | Undefined  | 1.0 | 106.18 | 
| 361857 | mc15_13TeV.361857.AlpgenPythiaEvtGen_P2012_WtaunuccNp2 | 400000 | 5.87 | 68.147  | 1.0 | 1.0 | Undefined  | 1.0 | 68.147 | 
| 361858 | mc15_13TeV.361858.AlpgenPythiaEvtGen_P2012_WtaunuccNp3 | 230000 | 6.02 | 38.236  | 1.0 | 1.0 | Undefined  | 1.0 | 38.236 | 
| 361860 | mc15_13TeV.361860.AlpgenPythiaEvtGen_P2012_WenucNp0 | 6000000 | 1.46 | 4106.9  | 1.0 | 1.0 | Undefined  | 1.0 | 4106.9 | 
| 361861 | mc15_13TeV.361861.AlpgenPythiaEvtGen_P2012_WenucNp1 | 2300000 | 2.58 | 892.42  | 1.0 | 1.0 | Undefined  | 1.0 | 892.42 | 
| 361862 | mc15_13TeV.361862.AlpgenPythiaEvtGen_P2012_WenucNp2 | 1195000 | 7.35 | 162.67  | 1.0 | 1.0 | Undefined  | 1.0 | 162.67 | 
